population,pop2024,pop2023,pop2022,pop2021,pop2020,pop2019,pop2018,pop2017,pop2016,pop2015,pop2014,pop2013,pop2012,pop2011,pop2010,pop2009,pop2008,pop2007,pop2006,pop2005,pop2004,pop2003,pop2002,pop2001,pop2000,growth,region,city,usps,state,countyFips,county,densityMi,slug,areaMi,lng,lat,type,rank
530,530,516,489,481.5,474,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,358,352.683746,347.3674921,342.0512381,494009.535,331.4187302,326.1024762,320.7862223,315.4699683,310.1537143,304.8374604,0.02713,Northeast,Beverly Beach,FL,Florida,12035,Flagler County,1721,florida/beverly-beach,0.308,-81.1469,29.5158,Town,847
526,526,518,509,501,493,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,487,479.7681126,472.5362253,465.3043379,494053.4725,450.8405631,443.6086758,436.3767884,429.144901,421.9130136,414.6811263,0.01544,Northwest,Alford,FL,Florida,12063,Jackson County,499,florida/alford,1.055,-85.3957,30.6966,Town,848
523,523,518,509,505.5,502,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,578,569.4167743,560.8335487,552.250323,494084.4671,535.0838716,526.500646,517.9174203,509.3341946,500.750969,492.1677433,0.00965,Northwest,Ponce Leon,FL,Florida,12059,Holmes County,105,florida/ponce-leon,4.961,-85.9369,30.724,Town,849
521,521,517,511,507.5,504,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,524,516.2186674,508.4373348,500.6560022,494066.0747,485.0933369,477.3120043,469.5306717,461.7493391,453.9680065,446.1866738,0.00774,Southeast,Briny Breezes,FL,Florida,12099,Palm Beach County,9140,florida/briny-breezes,0.057,-80.0522,26.5089,Town,850
520,520,508,494,482,470,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,454,447.2581584,440.5163168,433.7744751,494042.2326,420.2907919,413.5489503,406.8071087,400.0652671,393.3234254,386.5815838,0.02362,North,McIntosh,FL,Florida,12083,Marion County,731,florida/mcintosh,0.711,-82.2207,29.4494,Town,851
510,510,496,480,466.5,453,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,502,494.5453646,487.0907291,479.6360937,494058.5815,464.7268228,457.2721873,449.8175519,442.3629164,434.908281,427.4536456,0.02823,North,Reddick,FL,Florida,12083,Marion County,405,florida/reddick,1.26,-82.1976,29.3687,Town,852
508,508,471,435,546.5,658,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.07856,Southeast,Ona,FL,Florida,12049,Hardee County,19,florida/ona,26.718,-81.9097,27.483,CDP,853
501,501,504,507,444.5,382,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,542,533.9513697,525.9027394,517.8541091,494072.2055,501.7568485,493.7082182,485.6595879,477.6109576,469.5623273,461.513697,-0.00595,East,Lake Hart,FL,Florida,12095,Orange County,463,florida/lake-hart,1.082,-81.2318,28.3813,CDP,854
498,498,496,493,430,367,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,463,456.1245095,449.2490191,442.3735286,494045.298,428.6225477,421.7470572,414.8715668,407.9960763,401.1205859,394.2450954,0.00403,Southeast,Gardner,FL,Florida,12049,Hardee County,65,florida/gardner,7.703,-81.7863,27.363,CDP,855
496,496,495,497,493.5,490,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,504,496.5156648,489.0313296,481.5469944,494059.2627,466.5783241,459.0939889,451.6096537,444.1253185,436.6409833,429.1566481,0.00202,Northwest,Altha,FL,Florida,12013,Calhoun County,371,florida/altha,1.337,-85.1261,30.5734,Town,856
